Question,relevant Observations (n=5),Score,Hit/Miss,Response,Average
oh awesome! I love that too! I also like playing tennis! How about you?,John Lin loves his family very much,1,0,"Oh, tennis is great! I enjoy playing it too. It's a fun way to stay active and competitive.",0
oh awesome! I love that too! I also like playing tennis! How about you?,John Lin thinks Sam Moore is a kind and nice man,0.921408976,0,,
oh awesome! I love that too! I also like playing tennis! How about you?,John Lin loves to help people,0.717401407,0,,
oh awesome! I love that too! I also like playing tennis! How about you?,"John Lin is living with his wife, Mei Lin, who is a college professor, and son, Eddy Lin, who is a student studying music theory",0.464016773,0,,
oh awesome! I love that too! I also like playing tennis! How about you?,John Lin is always looking for ways to make the process of getting medication easier for his customers,0.431931706,0,,
oh awesome! I love that too! I also like playing tennis! How about you?,John Lin loves music.,1,0,,
oh awesome! I love that too! I also like playing tennis! How about you?,John Lin responds positively to Katie's statement about liking Linkin Park.,0.862749925,0,,
oh awesome! I love that too! I also like playing tennis! How about you?,"Katie's favorite song from Linkin Park is ""What I've Done"".",0.703709149,0,,
oh awesome! I love that too! I also like playing tennis! How about you?,John Lin expresses his appreciation for Linkin Park as a band.,0.696310875,0,,
oh awesome! I love that too! I also like playing tennis! How about you?,John Lin mentions that he has quite a few favorite artists. ,0.619289122,0,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
MAP : 0.242,,,,,
